"Abbr","Name","Women","Men","Total","Ind","Relays","Total","Women","Men","Combined"
"PSCM","Phoenix Swim Clu","2","2","4","17","1","18","23","85","108"
"PLUNJ","Plunge Masters","1","0","1","2","0","2","5","0","5"
"PCY","Powel Crosley, J","6","5","11","42","0","42","19","4","23"
"PA","Prime Aquatics","1","0","1","6","0","6","8","0","8"
"PSM","Puget Sound Mast","12","14","26","115","5","120","119","103","222"
"QSS","Quicksilver Mast","2","3","5","22","0","22","19","15","34"
"RBAY","RBAY Masters","0","1","1","3","0","3","0","1","1"
"REDT","Red Tide","1","0","1","4","0","4","0","0","0"
"RMST","Reston Masters S","5","10","15","62","9","71","37","215","254"
"RICE","Rice Aquatic Mas","0","1","1","5","0","5","0","0","0"
"RGSC","Rio Grande Swim","1","4","5","25","0","25","0","0","0"
"RCME","River City Maste","5","6","11","39","5","44","20","0","20"
"RAA","Riverside Aquati","0","2","2","10","0","10","0","5","5"
"ROCH","Rochester Area M","8","5","13","60","0","60","47","24","71"
"ROCKR","Rockr Racing","0","2","2","4","0","4","0","0","0"
"ROSE","Rose Bowl Master","7","8","15","70","7","77","120","120","272"
"RMT","Rutherford Maste","3","3","6","26","2","28","12","26","38"
"SALT","Salt Lake Master","1","0","1","3","0","3","2","0","2"
"SDSM","San Diego Swim M","4","5","9","50","2","52","79","25","120"
"SMM","San Mateo Master","1","0","1","4","0","4","7","0","7"
"MPACM","Sanpete Masters","1","0","1","3","0","3","0","0","0"
"SBM","Santa Barbara Ma","6","3","9","41","0","41","137","58","195"
"SCSC","Santa Clara Swim","0","1","1","4","0","4","0","22","22"
"SMSC","Santa Maria Swim","1","0","1","6","0","6","0","0","0"
"SRM","Santa Rosa Maste","0","2","2","11","0","11","0","32","32"
"SHARK","Sarasota Sharks","7","14","21","94","3","97","157","266","445"
"SAVMS","Savannah Masters","2","1","3","8","0","8","1","11","12"
"SAWS","Sawtooth Masters","1","4","5","25","0","25","6","84","90"
"TSUN","SF Tsunami Maste","0","2","2","8","0","8","0","3","3"
"SSC","Sharks Swim Club","0","1","1","1","0","1","0","0","0"
"SWMT","Shockwave Master","0","1","1","5","0","5","0","0","0"
"SNM","Sierra Nevada Ma","3","0","3","2","0","2","0","0","0"
"SJ","SJAC Masters","0","1","1","3","0","3","0","0","0"
"SLOSM","SLO Seahawks Mas","1","0","1","6","0","6","55","0","55"
"SCYM","Somerset County","1","0","1","6","0","6","13","0","13"
"SDPM","South Dakota Pra","2","0","2","10","0","10","5","0","5"
"SDMST","South Davis Mast","5","9","14","80","6","86","28","2","30"
"SEMS","South East Metro","2","1","3","16","0","16","5","0","5"
"SERC","South End Rowing","0","1","1","3","0","3","0","0","0"
"SSSMS","South Shore Sail","1","1","2","9","0","9","0","11","11"
"FSAM","Southeastern Are","4","4","8","35","0","35","57","75","132"
"SCAQ","Southern Califor","0","1","1","3","0","3","0","0","0"
"SMS","Southern Masters","10","7","17","68","5","73","168","24","192"
"SWIN","Southwest Indian","2","3","5","18","0","18","0","37","37"
"SCM","Spokane Club Mas","0","1","1","6","0","6","0","43","43"
"SW","Sports World","0","1","1","5","0","5","0","3","3"
"SVY","Spring Valley YM","1","5","6","33","2","35","52","157","209"
"SPM","St Pete Masters","2","6","8","41","3","44","95","38","133"
"SLAM","St. Louis Area M","8","13","21","98","3","101","124","172","296"
"STEEL","Steel City Aquat","2","0","2","10","0","10","60","0","60"
"SFY","Stephens Family","5","3","8","29","1","30","49","0","49"
"LNRS","Streamliners","1","0","1","6","0","6","7","0","7"
"SWAG","Swamp Water Aqua","0","1","1","4","0","4","0","0","0"
"SCIU","Swim Club at Ind","0","1","1","4","0","4","0","17","17"
"SFA","Swim Fit Alaska","1","0","1","3","0","3","0","0","0"
"SFTL","Swim Fort Lauder","8","12","20","91","12","103","129","184","323"
"SKY","Swim Kentucky Ma","19","25","44","185","12","197","52","243","297"
"MELB","Swim Melbourne M","1","0","1","6","0","6","8","0","8"
"UTAH","Swim Utah","1","0","1","1","0","1","0","0","0"
"NERD","SWIMNERD","0","5","5","12","1","13","0","3","3"
"TAM","Tamalpais Aquati","4","2","6","27","2","29","116","115","245"
"TNYA","Team New York Aq","0","1","1","3","0","3","0","0","0"
"TPIT","Team Pittsburgh","2","0","2","12","0","12","75","0","75"
